GAME_ID,ABS_TIME,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,ABS_TIME
21400890.0,719.0,0021400890,99,PT00M01.00S,1,1610612747,LAL,203903,Clarkson,J. Clarkson,-122,235,26,Missed,1,,,0,v,MISS Clarkson 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,94,719.0
21400890.0,743.0,0021400890,105,PT11M37.00S,2,1610612747,LAL,202391,Lin,J. Lin,17,3,2,Missed,1,,,0,v,MISS Lin 2' Layup,Missed Shot,Layup Shot,1,0,100,743.0
21400890.0,750.0,0021400890,107,PT11M30.00S,2,1610612766,CHA,203148,Roberts,B. Roberts,-235,11,24,Missed,1,,,0,h,MISS Roberts 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,103,750.0
21400890.0,767.0,0021400890,109,PT11M13.00S,2,1610612747,LAL,201941,Hill,J. Hill,-119,105,16,Missed,1,,,0,v,MISS Hill 16' Jump Shot,Missed Shot,Jump Shot,1,0,105,767.0
21400890.0,779.0,0021400890,111,PT11M01.00S,2,1610612766,CHA,202362,Stephenson,L. Stephenson,-23,107,11,Made,1,29,30,59,h,Stephenson 11' Pullup Jump Shot (2 PTS) (Roberts 2 AST),Made Shot,Pullup Jump shot,1,0,107,779.0
21400890.0,803.0,0021400890,113,PT10M37.00S,2,1610612747,LAL,201941,Hill,J. Hill,24,107,11,Missed,1,,,0,v,MISS Hill 11' Jump Shot,Missed Shot,Jump Shot,1,0,108,803.0
21400890.0,814.0,0021400890,115,PT10M26.00S,2,1610612766,CHA,202362,Stephenson,L. Stephenson,103,124,16,Missed,1,,,0,h,MISS Stephenson 16' Jump Shot,Missed Shot,Jump Shot,1,0,110,814.0
21400890.0,821.0,0021400890,117,PT10M19.00S,2,1610612747,LAL,202391,Lin,J. Lin,-5,17,2,Missed,1,,,0,v,MISS Lin 2' Layup,Missed Shot,Layup Shot,1,0,112,821.0
21400890.0,848.0,0021400890,124,PT09M52.00S,2,1610612747,LAL,201941,Hill,J. Hill,-2,170,17,Missed,1,,,0,v,MISS Hill 17' Jump Shot,Missed Shot,Jump Shot,1,0,119,848.0
21400890.0,853.0,0021400890,126,PT09M47.00S,2,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,-11,0,1,Made,1,32,30,62,h,Kidd-Gilchrist 1' Layup (6 PTS) (Stephenson 1 AST),Made Shot,Layup Shot,1,0,122,853.0
21400890.0,894.0,0021400890,135,PT09M06.00S,2,1610612747,LAL,2430,Boozer,C. Boozer,-8,9,1,Made,1,34,32,66,v,Boozer 1' Layup (4 PTS) (Davis 1 AST),Made Shot,Layup Shot,1,0,129,894.0
21400890.0,908.0,0021400890,136,PT08M52.00S,2,1610612766,CHA,101107,Williams,M. Williams,9,217,22,Made,1,36,32,68,h,Ma. Williams 22' Jump Shot (5 PTS) (Henderson 3 AST),Made Shot,Jump Shot,1,0,130,908.0
21400890.0,920.0,0021400890,137,PT08M40.00S,2,1610612747,LAL,2430,Boozer,C. Boozer,36,173,18,Made,1,36,34,70,v,Boozer 18' Jump Shot (6 PTS) (Lin 4 AST),Made Shot,Jump Shot,1,0,131,920.0
21400890.0,940.0,0021400890,138,PT08M20.00S,2,1610612766,CHA,101107,Williams,M. Williams,69,42,8,Made,1,38,34,72,h,Ma. Williams 8' Running Jump Shot (7 PTS) (Stephenson 2 AST),Made Shot,Running Jump Shot,1,0,132,940.0
21400890.0,954.0,0021400890,139,PT08M06.00S,2,1610612747,LAL,2430,Boozer,C. Boozer,-139,102,17,Missed,1,,,0,v,MISS Boozer 17' Jump Shot,Missed Shot,Jump Shot,1,0,133,954.0
21400890.0,964.0,0021400890,146,PT07M56.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,1,53,5,Missed,1,,,0,h,MISS Henderson 5' Jump Shot,Missed Shot,Jump Shot,1,0,136,964.0
21400890.0,970.0,0021400890,148,PT07M50.00S,2,1610612747,LAL,202334,Davis,E. Davis,0,1,0,Made,1,38,36,74,v,Davis Dunk (2 PTS) (Lin 5 AST),Made Shot,Dunk Shot,1,0,139,970.0
21400890.0,994.0,0021400890,149,PT07M26.00S,2,1610612766,CHA,101107,Williams,M. Williams,-46,55,7,Missed,1,,,0,h,MISS Ma. Williams 7' Running Hook Shot,Missed Shot,Running Hook Shot,1,0,140,994.0
21400890.0,1009.0,0021400890,151,PT07M11.00S,2,1610612747,LAL,202325,Johnson,W. Johnson,-78,203,22,Missed,1,,,0,v,MISS Johnson 22' Jump Shot,Missed Shot,Jump Shot,1,0,142,1009.0
21400890.0,1042.0,0021400890,161,PT06M38.00S,2,1610612747,LAL,202334,Davis,E. Davis,-5,15,2,Made,1,38,40,78,v,Davis 2' Layup (4 PTS) (Lin 6 AST),Made Shot,Layup Shot,1,0,151,1042.0
21400890.0,1052.0,0021400890,166,PT06M28.00S,2,1610612766,CHA,203148,Roberts,B. Roberts,73,250,26,Missed,1,,,0,h,MISS Roberts 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,155,1052.0
21400890.0,1082.0,0021400890,175,PT05M58.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-150,25,15,Missed,1,,,0,h,MISS Jefferson 15' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,0,162,1082.0
21400890.0,1092.0,0021400890,177,PT05M48.00S,2,1610612747,LAL,202391,Lin,J. Lin,110,145,18,Missed,1,,,0,v,MISS Lin 18' Jump Shot,Missed Shot,Jump Shot,1,0,164,1092.0
21400890.0,1105.0,0021400890,179,PT05M35.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,-117,164,20,Made,1,40,42,82,h,Henderson 20' Jump Shot (4 PTS) (Roberts 3 AST),Made Shot,Jump Shot,1,0,166,1105.0
21400890.0,1132.0,0021400890,181,PT05M08.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,23,9,2,Missed,1,,,0,h,MISS Henderson 2' Driving Layup,Missed Shot,Driving Layup Shot,1,0,169,1132.0
21400890.0,1150.0,0021400890,194,PT04M50.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,64,15,7,Missed,1,,,0,h,MISS Jefferson 7' Jump Shot,Missed Shot,Jump Shot,1,0,181,1150.0
21400890.0,1168.0,0021400890,196,PT04M32.00S,2,1610612747,LAL,201961,Ellington,W. Ellington,54,173,18,Missed,1,,,0,v,MISS Ellington 18' Jump Shot,Missed Shot,Jump Shot,1,0,183,1168.0
21400890.0,1185.0,0021400890,198,PT04M15.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,157,15,16,Missed,1,,,0,h,MISS Henderson 16' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0,185,1185.0
21400890.0,1203.0,0021400890,200,PT03M57.00S,2,1610612747,LAL,2430,Boozer,C. Boozer,-108,131,17,Missed,1,,,0,v,MISS Boozer 17' Jump Shot,Missed Shot,Jump Shot,1,0,187,1203.0
21400890.0,1228.0,0021400890,203,PT03M32.00S,2,1610612747,LAL,2430,Boozer,C. Boozer,-5,7,1,Made,1,40,44,84,v,Boozer 1' Layup (8 PTS) (Clarkson 3 AST),Made Shot,Layup Shot,1,0,191,1228.0
21400890.0,1245.0,0021400890,204,PT03M15.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-7,26,3,Made,1,42,44,86,h,Jefferson 3' Layup (8 PTS),Made Shot,Layup Shot,1,0,192,1245.0
21400890.0,1269.0,0021400890,205,PT02M51.00S,2,1610612747,LAL,203135,Sacre,R. Sacre,140,67,16,Missed,1,,,0,v,MISS Sacre 16' Jump Shot,Missed Shot,Jump Shot,1,0,193,1269.0
21400890.0,1272.0,0021400890,206,PT02M48.00S,2,1610612747,LAL,202325,Johnson,W. Johnson,17,1,2,Missed,1,,,0,v,MISS Johnson 2' Putback Layup,Missed Shot,Putback Layup Shot,1,0,195,1272.0
21400890.0,1273.0,0021400890,208,PT02M47.00S,2,1610612747,LAL,202325,Johnson,W. Johnson,10,6,1,Made,1,42,46,88,v,Johnson 1' Putback Layup (6 PTS),Made Shot,Putback Layup Shot,1,0,197,1273.0
21400890.0,1288.0,0021400890,211,PT02M32.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-7,6,1,Missed,1,,,0,h,MISS Jefferson 1' Layup,Missed Shot,Layup Shot,1,0,198,1288.0
21400890.0,1293.0,0021400890,213,PT02M27.00S,2,1610612747,LAL,202325,Johnson,W. Johnson,176,181,25,Missed,1,,,0,v,MISS Johnson 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,200,1293.0
21400890.0,1313.0,0021400890,220,PT02M07.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-13,3,1,Missed,1,,,0,h,MISS Jefferson 1' Layup,Missed Shot,Layup Shot,1,0,206,1313.0
21400890.0,1333.0,0021400890,223,PT01M47.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,-229,26,0,Made,1,45,46,91,h,Henderson 3PT Jump Shot (7 PTS) (Mo. Williams 3 AST),Made Shot,Jump Shot,1,0,210,1333.0
21400890.0,1367.0,0021400890,229,PT01M13.00S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-11,47,5,Made,1,47,48,95,h,Jefferson 5' Jump Shot (10 PTS) (Henderson 4 AST),Made Shot,Jump Shot,1,0,214,1367.0
