PLAYER_NAME,HEIGHT,PLAYER_ID
Eric Bledsoe,6-1,202339
Eric Gordon,6-3,201569
Eric Moreland,6-10,203961
Erick Green,6-4,203475
Ersan Ilyasova,6-9,101141
Evan Fournier,6-6,203095
Evan Turner,6-6,202323
Festus Ezeli,6-11,203105
Francisco Garcia,6-7,101128
Furkan Aldemir,6-10,203128
Gal Mekel,6-3,203539
Garrett Temple,6-5,202066
Gary Harris,6-4,203914
Gary Neal,6-4,202390
George Hill,6-4,201588
Gerald Green,6-7,101123
Gerald Henderson,6-5,201945
Gerald Wallace,6-7,2222
Giannis Antetokounmpo,6-11,203507
Gigi Datome,6-8,203540
Glen Davis,6-9,201175
Glen Rice,6-6,203318
Glenn Robinson III,6-6,203922
Goran Dragic,6-4,201609
Gordon Hayward,6-7,202330
Gorgui Dieng,6-10,203476
Grant Jerrett,6-10,203511
Greg Monroe,6-10,202328
Greg Smith,6-10,202962
Greg Stiemsma,6-11,201880
Greivis Vasquez,6-6,202349
Harrison Barnes,6-8,203084
Hassan Whiteside,7-0,202355
Hedo Turkoglu,6-10,2045
Henry Sims,6-10,203156
Henry Walker,6-6,201611
Hollis Thompson,6-8,203138
Ian Clark,6-3,203546
Ian Mahinmi,6-11,101133
Iman Shumpert,6-5,202697
Isaiah Canaan,6-0,203477
Isaiah Thomas,5-9,202738
Ish Smith,6-0,202397
J.J. Barea,5-10,200826
JJ Hickson,6-9,201581
JJ Redick,6-3,200755
JR Smith,6-6,2747
JaKarr Sampson,6-7,203960
JaMychal Green,6-9,203210
JaVale McGee,7-0,201580
Jabari Brown,6-5,203913
Jabari Parker,6-7,203953
Jack Cooley,6-10,204022
Jae Crowder,6-6,203109
Jamaal Franklin,6-5,203479
Jamal Crawford,6-5,2037
Jameer Nelson,6-0,2749
James Ennis III,6-6,203516
James Harden,6-5,201935
James Johnson,6-7,201949
James Jones,6-8,2592
James Michael McAdoo,6-9,203949
James Young,6-6,203923
Jannero Pargo,6-1,2457
Jared Cunningham,6-4,203099
Jared Dudley,6-6,201162
Jared Sullinger,6-9,203096
Jarnell Stokes,6-9,203950
Jarrett Jack,6-3,101127
Jason Maxiell,6-7,101131
Jason Richardson,6-6,2202
Jason Smith,7-0,201160
Jason Terry,6-2,1891
Jason Thompson,6-11,201574
Jeff Adrien,,202399
Jeff Ayres,6-9,201965
Jeff Green,6-8,201145
Jeff Teague,6-3,201952
Jeff Withey,7-0,203481
Jeffery Taylor,,203106
Jerami Grant,6-7,203924
Jerel McNeal,6-3,202077
Jeremy Evans,6-9,202379
Jeremy Lamb,6-5,203087
Jeremy Lin,6-3,202391
Jerome Jordan,7-0,202366
Jerryd Bayless,6-3,201573
Jimmer Fredette,6-2,202690
Jimmy Butler,6-7,202710
Joakim Noah,6-11,201149
Jodie Meeks,6-4,201975
Joe Harris,6-6,203925
Joe Ingles,6-8,204060
Joe Johnson,6-7,2207
Joel Anthony,6-9,201202
Joel Freeland,6-10,200777
Joey Dorsey,,201595
Joffrey Lauvergne,6-11,203530
John Henson,6-9,203089
John Jenkins,6-4,203098
John Lucas III,5-11,101249
John Salmons,6-6,2422
John Wall,6-3,202322
Johnny O'Bryant III,6-9,203948
Jon Leuer,6-10,202720
Jonas Jerebko,6-10,201973
Jordan Adams,6-5,203919
Jordan Clarkson,6-3,203903
Jordan Farmar,6-2,200770
Jordan Hamilton,6-7,202706
Jordan Hill,6-10,201941
Jorge Gutierrez,6-3,203268
Jose Calderon,6-3,101181
Josh McRoberts,6-10,201177
Josh Smith,6-9,2746
Jrue Holiday,6-4,201950
Julius Randle,6-9,203944
