PLAYER_NAME,HEIGHT
Nicolas Batum,6-8
Nik Stauskas,6-6
Nikola Mirotic,6-10
Nikola Pekovic,6-11
Nikola Vučević,6-10
Noah Vonleh,6-10
Norris Cole,6-2
O.J. Mayo,6-5
Ognjen Kuzmic,7-0
Omer Asik,7-0
Omri Casspi,6-9
Otto Porter Jr.,6-8
P.J. Tucker,6-5
PJ Hairston,6-6
Pablo Prigioni,6-3
Patrick Beverley,6-2
Patrick Christopher,
Patrick Patterson,6-8
Patty Mills,6-2
Pau Gasol,7-0
Paul George,6-8
Paul Millsap,6-7
Paul Pierce,6-7
Pero Antic,6-11
Perry Jones III,6-11
Phil Pressey,5-11
Quincy Acy,6-7
Quincy Miller,6-9
Quincy Pondexter,6-7
Rajon Rondo,6-1
Ramon Sessions,6-3
Randy Foye,6-4
Rasual Butler,6-7
Ray McCallum,6-3
Raymond Felton,6-1
Reggie Bullock Jr.,6-6
Reggie Evans,6-8
Reggie Jackson,6-2
Reggie Williams,6-6
Richard Jefferson,6-7
Ricky Ledo,6-7
Ricky Rubio,6-2
Robbie Hummel,6-9
Robert Covington,6-7
Robert Sacre,7-0
Robin Lopez,7-1
Rodney Hood,6-8
Rodney Stuckey,6-5
Ronnie Price,6-2
Ronny Turiaf,6-10
Roy Hibbert,7-2
Rudy Gay,6-8
Rudy Gobert,7-1
Russ Smith,6-0
Russell Westbrook,6-4
Ryan Anderson,6-9
Ryan Hollins,7-0
Ryan Kelly,6-11
Samuel Dalembert,6-11
Sean Kilpatrick,6-4
Sebastian Telfair,6-0
Serge Ibaka,6-11
Sergey Karasev,6-7
Seth Curry,6-1
Shabazz Muhammad,6-6
Shabazz Napier,6-0
Shane Larkin,5-11
Shannon Brown,6-3
Shaun Livingston,6-7
Shavlik Randolph,6-10
Shawn Marion,6-7
Shawne Williams,6-10
Shayne Whittington,6-11
Shelvin Mack,6-3
Sim Bhullar,7-5
Solomon Hill,6-6
Spencer Dinwiddie,6-5
Spencer Hawes,7-1
Stephen Curry,6-2
Steve Blake,6-3
Steve Novak,6-10
Steven Adams,6-11
T.J. Warren,6-8
Taj Gibson,6-9
Tarik Black,6-9
Tayshaun Prince,6-9
Terrence Jones,6-9
Terrence Ross,6-7
Thabo Sefolosha,6-6
Thaddeus Young,6-8
Thomas Robinson,6-10
Tiago Splitter,6-11
Tim Duncan,6-11
Tim Frazier,6-0
Tim Hardaway Jr.,6-5
Timofey Mozgov,7-1
Tobias Harris,6-8
Toney Douglas,6-2
Tony Allen,6-4
Tony Parker,6-2
Tony Snell,6-6
Tony Wroten,6-6
Toure' Murry,6-5
Travis Wear,6-10
Trevor Ariza,6-8
Trevor Booker,6-8
Trey Burke,6-0
Tristan Thompson,6-9
Troy Daniels,6-4
Ty Lawson,5-11
Tyler Ennis,6-3
Tyler Hansbrough,
Tyler Johnson,6-3
Tyler Zeller,6-11
Tyreke Evans,6-6
Tyrus Thomas,6-10
Tyson Chandler,7-0
Udonis Haslem,6-7
Vander Blue,6-5
Victor Claver,
Victor Oladipo,6-3
Vince Carter,6-6
Wayne Ellington,6-4
Wesley Johnson,6-7
Wesley Matthews,6-5
Will Barton,6-5
Will Bynum,6-0
Will Cherry,
Willie Green,6-3
Wilson Chandler,6-8
Xavier Henry,6-6
Zach LaVine,6-5
Zach Randolph,6-9
Zaza Pachulia,6-11
Zoran Dragic,6-5
